Date of first Publishing;Count
-750;1
-500;1
-380;1
0;31
450;1
600;1
800;1
1002;1
1190;1
1200;1
1212;1
1225;1
1320;3
1400;1
1516;1
1532;4
1577;1
1595;2
1596;1
1597;1
1600;2
1605;2
1606;1
1608;1
1611;1
1623;1
1626;1
1641;1
1649;1
1663;1
1668;2
1677;1
1680;1
1719;3
1755;1
1759;3
1760;1
1763;1
1764;1
1774;2
1779;1
1782;1
1789;1
1794;1
1795;1
1796;2
1807;1
1808;4
1809;1
1812;8
1813;6
1816;2
1817;2
1818;4
1821;1
1824;1
1825;1
1826;1
1831;2
1832;1
1834;1
1836;5
1837;1
1838;7
1839;3
1842;1
1843;2
1844;7
1845;1
1846;2
1847;9
1848;3
1849;2
1850;1
1851;7
1853;3
1854;1
1855;2
1856;1
1857;1
1861;2
1862;3
1863;1
1864;4
1865;14
1866;3
1867;6
1868;1
1869;6
1870;2
1871;2
1873;1
1874;1
1876;6
1877;2
1878;4
1879;2
1881;1
1882;1
1883;4
1884;6
1885;2
1886;5
1887;5
1888;6
1889;2
1890;6
1891;2
1892;8
1893;5
1894;2
1895;4
1895;1
1896;5
1897;7
1898;3
1899;4
1900;2
1901;4
1902;10
1903;2
1904;5
1905;3
1906;12
1907;1
1908;15
1910;1
1911;4
1912;7
1913;7
1914;5
1915;8
1916;5
1917;1
1918;3
1919;9
1920;5
1921;4
1922;23
1923;5
1924;6
1925;8
1926;13
1927;19
1928;7
1929;20
1930;15
1931;11
1932;19
1933;10
1934;10
1935;8
1936;10
1937;31
1938;9
1939;16
1940;8
1941;17
1942;21
1943;22
1944;10
1945;20
1946;12
1947;16
1948;13
1949;44
1950;26
1951;42
1952;15
1953;26
1954;85
1955;21
1956;28
1957;31
1958;18
1959;20
1960;33
1961;48
1962;52
1963;40
1964;34
1965;40
1966;16
1967;44
1968;39
1969;38
1969;1
1970;35
1971;50
1972;30
1973;53
1974;38
1975;33
1976;27
1977;39
1978;40
1979;110
1980;46
1981;35
1982;48
1983;58
1984;53
1985;73
1986;50
1987;36
1988;54
1989;47
1990;47
1991;23
1992;47
1993;31
1994;30
1995;51
1996;33
1997;47
1998;30
1999;35
2000;59
2001;34
2002;23
2003;36
2004;37
2005;20
2006;28
2007;18
2008;22
2009;23
2010;27
2011;28
2012;9
2013;15
2014;22
2015;15
2016;12
2017;18
2018;23
2018;1
2019;23
2020;15
2021;15
2022;5
2023;9